Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
226653727,2020.09.22 02:33:52,balance,ADJUSTMENT,,,,,,,,,,100 000.00
226737081,2020.09.24 00:04:34,balance,Financing,,,,,,,,,,-0.25
226740866,2020.09.24 04:10:58,balance,"Non-MT4 Activity, #9",,,,,,,,,,-0.2
226751576,2020.09.24 16:48:55,sell,0.01,usdmxn,22.58994,0,0,2020.09.28 16:13:55,22.25699,0,0,0,22.33
226751587,2020.09.24 16:49:13,balance,"Non-MT4 Activity, #9",,,,,,,,,,-0.35
226751627,2020.09.24 16:51:05,buy,0.02,chfzar,18.45608,0,0,2020.09.28 16:13:55,18.34444,0,0,0,-13.19
226751637,2020.09.24 16:52:08,buy,0.01,usdjpy,105.455,0,0,2020.09.28 16:13:55,105.444,0,0,0,-0.16
226751639,2020.09.24 16:52:21,balance,"Non-MT4 Activity, #12",,,,,,,,,,-0.61
226751655,2020.09.24 16:53:04,buy,10,xauxag,83.524,0,0,2020.09.28 16:13:55,80.171,0,0,0,-78 662.21
226781115,2020.09.25 00:05:00,balance,Financing,,,,,,,,,,-63.15
226823171,2020.09.26 00:05:02,balance,Financing,,,,,,,,,,-65.52
226838724,2020.09.28 16:13:55,balance,"Non-MT4 Activity, #14",,,,,,,,,,0.01
226838725,2020.09.28 16:13:55,balance,"Non-MT4 Activity, #5",,,,,,,,,,1.28
226838726,2020.09.28 16:13:55,balance,"Non-MT4 Activity, #7",,,,,,,,,,2.58
226908480,2020.09.30 01:31:51,buy,0.03,chfzar-e,18.44372,0,0,2020.09.30 01:33:07,18.37641,0,0,0,-13.99
226908499,2020.09.30 01:35:18,buy,0.03,usdmxn-e,22.42082,0,0,2020.10.01 05:29:57,22.01754,0,0,0,-64.41
226908501,2020.09.30 01:36:11,buy,0.01,eurzar-e,19.91871,0,0,2020.10.01 05:29:47,19.59671,0,0,0,-29.05
226950467,2020.10.01 00:04:45,balance,Financing,,,,,,,,,,-8.12
226954567,2020.10.01 05:30:31,buy,0.01,usdjpy-e,105.508,0,0,2020.10.05 00:55:36,105.517,0,0,0,0.12
226954572,2020.10.01 05:31:03,buy,0.01,eurzar-e,19.61427,0,0,2020.10.05 00:53:40,19.29811,0,0,0,-28.85
226990208,2020.10.02 00:05:13,balance,Financing,,,,,,,,,,-0.42
227027225,2020.10.03 00:04:41,balance,Financing,,,,,,,,,,-0.4
227068870,2020.10.06 00:04:35,balance,Financing,,,,,,,,,,-0.06
227107802,2020.10.07 00:05:00,balance,Financing,,,,,,,,,,-0.06
227148002,2020.10.08 00:05:03,balance,Financing,,,,,,,,,,-0.73
227209642,2020.10.10 00:04:44,balance,Financing,,,,,,,,,,-0.06
227251654,2020.10.13 00:05:20,balance,Financing,,,,,,,,,,-0.06
227291187,2020.10.14 00:04:48,balance,Financing,,,,,,,,,,-0.07
227329904,2020.10.15 00:04:58,balance,Financing,,,,,,,,,,-0.2
227370408,2020.10.16 00:05:04,balance,Financing,,,,,,,,,,-0.06
227403786,2020.10.17 00:04:47,balance,Financing,,,,,,,,,,-0.07
,,,,,,,,,,0,0,0,-78 789.41
Closed P/L:,,,,,,,,,,,,-78 789.41,
Open Trades:,,,,,,,,,,,,,
Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,,Price,Commission,Taxes,Swap,Profit
227031344,2020.10.05 00:56:00,buy,0.01,gbpusd-e,1.2925,0,0,,1.29018,0,0,0,-2.32
,,,,,,,,,,0,0,0,-2.32
,,,,,,,,,,Floating P/L:,,-2.32,
Working Orders:,,,,,,,,,,,,,
Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Market Price,,,,,
No transactions,,,,,,,,,,,,,
,,,,,,,,,,,,,
Summary:,,,,,,,,,,,,,
Deposit/Withdrawal:,,99 863.48,,Credit Facility:,,,,0,,,,,
Closed Trade P/L:,,-78 789.41,,Floating P/L:,,,,-2.32,Margin:,,,12.92,
Balance:,,21 074.07,,Equity:,,,,21 071.75,Free Margin:,,,21 058.83,
